latitude,longitude,crime_type,date,severity,description
17.3851,78.4868,Robbery,2024-01-03,5,Armed robbery near commercial area
17.3837,78.4874,Assault,2024-01-10,4,Street fight reported
17.3862,78.4882,Burglary,2024-01-15,5,House break-in in residential zone
17.3880,78.4855,Assault,2024-02-01,4,Physical assault late night
17.3845,78.4843,Robbery,2024-02-20,5,Store robbery at local shop
17.3875,78.4890,Harassment,2024-03-05,4,Verbal harassment in public area
17.3828,78.4858,Assault,2024-03-12,5,Domestic violence incident
17.3859,78.4862,Burglary,2024-03-22,5,Office break-in reported
17.3865,78.4870,Robbery,2024-04-08,5,Mugging incident in market
17.3830,78.4885,Harassment,2024-04-15,4,Harassment by stranger
17.3853,78.4860,Robbery,2024-04-20,5,ATM robbery reported
17.3848,78.4872,Assault,2024-05-01,4,Street fight near metro station
17.3868,78.4855,Burglary,2024-05-08,5,Home burglary in residential complex
17.3872,78.4880,Robbery,2024-05-15,5,Store robbery in commercial hub
17.3835,78.4865,Assault,2024-05-20,4,Physical altercation reported
17.3840,78.4850,Harassment,2024-05-28,4,Public harassment complaint
17.3855,78.4875,Robbery,2024-06-03,5,Mugging incident near bank
17.3860,78.4862,Assault,2024-06-10,4,Assault on street reported
17.3825,78.4845,Burglary,2024-06-18,5,House break-in at night
17.3882,78.4892,Robbery,2024-06-25,5,Robbery in market area
17.3856,78.4858,Assault,2024-07-02,4,Street fight near bus stop
17.3863,78.4865,Burglary,2024-07-10,5,Office burglary
17.3842,78.4870,Robbery,2024-07-15,5,ATM robbery
17.3839,78.4863,Harassment,2024-07-22,4,Harassment in park
17.3871,78.4852,Assault,2024-07-28,4,Physical altercation reported
17.3858,78.4860,Robbery,2024-08-05,5,Store robbery
17.3866,78.4881,Burglary,2024-08-12,5,Residential burglary
17.3844,78.4855,Assault,2024-08-20,4,Street fight
17.3829,78.4875,Robbery,2024-08-28,5,Mugging incident
17.3861,78.4868,Harassment,2024-09-03,4,Verbal harassment
17.3852,78.4872,Burglary,2024-09-10,5,Office break-in
17.3836,78.4859,Assault,2024-09-18,4,Physical assault reported
17.3874,78.4885,Robbery,2024-09-25,5,ATM robbery
17.3846,78.4861,Burglary,2024-10-01,5,House break-in
17.3864,78.4857,Assault,2024-10-08,4,Street fight
17.3838,78.4869,Robbery,2024-10-15,5,Store robbery
17.3850,78.4875,Harassment,2024-10-22,4,Harassment complaint
17.3867,78.4882,Burglary,2024-10-30,5,Office burglary
17.3841,78.4858,Assault,2024-11-05,4,Physical altercation
17.3870,78.4864,Robbery,2024-11-12,5,ATM mugging
17.3854,78.4869,Burglary,2024-11-20,5,Residential break-in
17.3837,78.4873,Assault,2024-11-28,4,Street fight incident
17.3862,78.4855,Robbery,2024-12-05,5,Store robbery in market
17.3849,78.4860,Harassment,2024-12-12,4,Harassment at park
17.3873,78.4879,Burglary,2024-12-20,5,Office break-in
17.3857,78.4863,Assault,2024-12-28,4,Physical altercation
