latitude,longitude,crime_type,date,severity,description
28.6139,77.2090,Theft,2024-01-15,2,Vehicle theft reported
28.6200,77.2200,Assault,2024-01-20,4,Physical assault incident
28.6150,77.2100,Robbery,2024-02-10,5,Armed robbery at ATM
28.6180,77.2150,Burglary,2024-02-15,3,House break-in
28.6220,77.2180,Vandalism,2024-03-01,2,Property damage
28.6100,77.2050,Theft,2024-03-10,2,Pickpocketing incident
28.6250,77.2220,Assault,2024-03-15,4,Street fight
28.6170,77.2130,Harassment,2024-04-01,3,Verbal harassment
28.6190,77.2170,Theft,2024-04-10,2,Bag snatching
28.6210,77.2190,Robbery,2024-05-05,5,Store robbery
28.6130,77.2080,Burglary,2024-05-15,3,Office break-in
28.6240,77.2210,Vandalism,2024-06-01,2,Graffiti vandalism
28.6160,77.2120,Assault,2024-06-10,4,Domestic violence
28.6200,77.2160,Theft,2024-07-01,2,Bicycle theft
28.6180,77.2140,Harassment,2024-07-15,3,Online harassment
28.6140,77.2095,Robbery,2024-08-05,5,Mugging incident
28.6230,77.2200,Burglary,2024-08-20,3,Car break-in
28.6155,77.2115,Theft,2024-09-01,2,Phone theft
28.6195,77.2175,Assault,2024-09-15,4,Bar fight
28.6215,77.2195,Vandalism,2024-10-01,2,Window breaking
